codFonteRecurso,txtDescricaoFonteRecurso,anoExercicio,modifiedMode,usuarioOperacao
01.2.754.1376,PMSP-SF/PROJETO CORREDOR ARICANDUVA-BANCO MUNDIAL,2025,5,
01.2.754.1482,PMSP- SF/PMSP/Ônibus Elétrico-BB-Opcred SF 02/23,2025,5,
01.2.754.1483,PMSP- SF/PMSP/Ônibus Elétrico-BB-Opcred SF 03/23,2025,5,
01.2.754.1530,PMSP- SF/Onibus Elétrico-BB-Opcred SF 01/24 - 21.180-X,2025,5,
01.2.754.1580,PMSP-SF/Pode Entrar-CEF-Opcred SF 02/24,2025,5,
01.2.754.1631,PMSP-SMSUB/Recape 2024,2025,5,
01.2.754.9999,Fontes Restos/Migração-Saldo 2022,2025,5,
02.1.550.0299,PMSP-SME-FNDE/SALÁRIO EDUCAÇÃO,2025,5,
02.1.552.0640,PMSP-SME/FNDE-PNAE,2025,5,
02.1.553.9001,Transferências de Recursos do FNDE referente ao PNATE,2025,5,
02.1.569.0000,Código Genérico,2025,5,
02.1.569.0943,PMSP-SME/FNDE-Plano de Ações Articuladas,2025,5,
02.1.569.0966,PMSP-SME/FNDE-PAC 2/PRO INFÂNCIA-CONSTRUÇÃO DE CRECHES,2025,5,
02.1.569.0976,PMSP-SME/FNDE-PROJOVEM URBANO,2025,5,
02.1.569.0978,PMSP-SME/FNDE-BRASIL CARINHOSO,2025,5,
02.1.569.0988,PMSP-SME/FNDE-Manutenção Ed. Infantil-Novas Turmas,2025,5,
02.1.569.1062,PMSP-SME/FNDE-manutenção Ed. Infantil-Novas Turmas,2025,5,
02.1.569.1093,PMSP-SME/FNDE-PROINFÂNCIA-PAR TC nº 201500555,2025,5,
02.1.569.1094,PMSP-SME/FNDE-PROINFÂNCIA - PAR TC nº 201500554,2025,5,
02.1.569.1140,PMSP-SME/FNDE/MEC/PAR/PRÓ INFÂNCIA,2025,5,
02.1.569.1141,PMSP-SME/FNDE-PAR,2025,5,
02.1.569.1173,PMSP-SME/FNDE-PAR - C/C 187798,2025,5,
02.1.569.1174,PMSP-SME/FNDE-PAR,2025,5,
02.1.569.1175,PMSP-SME/FNDE-PAR,2025,5,
02.1.569.1176,PMSP-SME/FNDE-PAR,2025,5,
02.1.569.1177,PMSP-SME/FNDE-PAR - C/C 190187,2025,5,
02.1.569.1180,PMSP-SME/FNDE-PAR,2025,5,
02.1.569.1181,PMSP-SME/FNDE-PAR,2025,5,
02.1.569.1194,PMSP-SME/FNDE-PAR - C/C 190497,2025,5,
02.1.569.1195,PMSP-SME/FNDE-PAR - C/C 187801,2025,5,
02.1.569.1196,PMSP-SME/FNDE-MP 81 - C/C 191442,2025,5,
02.1.569.1267,PMSP-SME/FNDE-PAR,2025,5,
02.1.569.1303,PMSP-SME/FNDE PAR-TC nº 201900065,2025,5,
02.1.569.1304,PMSP-SME/FNDE PAR-TC nº 201900068,2025,5,
02.1.569.1512,PMSP-SME/FNDE Programa Escola em Tempo Integral - ETI,2025,5,
02.1.569.1632,PMSP-SME/Escolas em Tempo Integral-NOVO PAC,2025,5,
